FOLIO,ANIO,TRIM,FECHA,CONCESIONARIO,K_EMPRESA,EMPRESA,K_GRUPO,GRUPO,I_FIJO_MOVIL,INGRESOS_TOTAL_E
516861,2021,4,15DEC2021,"INTEGRA COMUNICACIONES, S. DE R.L. DE C.V.",C0159,INTEGRA COMUNICACIONES,C159,INTEGRA COMUNICACIONES,Fijo,680278.00
516895,2021,4,15DEC2021,"CABLEPLAY TELECOMUNICACIONES, S.A. DE C.V.",C0853,CABLEPLAY,C853,CABLEPLAY,Fijo,2859304.87
516999,2021,4,15DEC2021,"MUCHOS MEGAS, S.A. DE C.V.",C0854,MUCHOS MEGAS,C854,MUCHOS MEGAS,Fijo,3338670.45
517038,2021,4,15DEC2021,"CELMAX MOVIL, S.A. DE C.V.",C0747,YOBI TELECOM,C747,YOBI TELECOM,OMV,14370517.47
517059,2021,4,15DEC2021,"GURUCOMM, S.A.P.I. DE C.V.",C0732,GURUCOMM,C732,GURUCOMM,Fijo y OMV,2875242.64
517063,2021,4,15DEC2021,"SISTV.TELECOMUNICACIONES, S.A. DE C.V.",C0605,SISTV,C605,SISTV,Fijo,1519980.74
517121,2021,4,15DEC2021,"COORDINADORA DE CARRIER´S, S.A. DE C.V.",C0774,CCA,C774,CCA,Fijo,6344816.18
517430,2021,4,15DEC2021,JOSÉ ASCENCIÓN GODÍNEZ RAMÍREZ,C0606,TELECABLE DE MARIANO ESCOBEDO Y SAN AGUSTIN DEL PULQUE,C606,TELECABLE DE MARIANO ESCOBEDO,Fijo,144409.11
517573,2021,4,15DEC2021,"AGREGADORA DE INTELIGENCIA EN NEGOCIOS TECNOLOGICOS, S.A. DE C.V.",C0746,ADDINTELI,C746,ADDINTELI,Fijo y OMV,2462635.00
517649,2021,4,15DEC2021,"DIRI TELECOMUNICACIONES, S.A. DE C.V.",C0756,DIRI MOVIL,C756,DIRI MOVIL,OMV,31846667.97
517654,2021,4,15DEC2021,"SOLUCIONES Y ASESORIA EN COBRANZA, S. DE R.L. DE C.V.",C0826,IGOU TELECOM,C826,IGOU TELECOM,OMV,61997.03
517975,2021,4,15DEC2021,"TALENTO NET, S. DE R.L. DE C.V.",C0751,NEWWW,C751,NEWWW,Fijo y OMV,48727661.18
518633,2021,4,15DEC2021,"WIMOTELECOM, S.A. DE C.V.",C0758,WIMOTELECOM,C758,WIMOTELECOM,OMV,90127067.80
518870,2021,4,15DEC2021,"COMRELOADED, S.A.P.I. DE C.V.",C0566,WEEX,C656,WEEX,OMV,8026895.34
518981,2021,4,15DEC2021,"CRO.NET, S.A. DE C.V.",C0371,CRO.NET,C371,CRO.NET,Fijo,395581.00
519022,2021,4,15DEC2021,"GO 3PLAY, S. DE R.L. DE C.V.",C0318,GOBO,C318,GOBO,Fijo,680278.00
519163,2021,4,15DEC2021,"CONVERGENCIA Y DESARROLLO DIGITAL, S.A. DE C.V.",C0807,RED DOG,C807,RED DOG,Fijo y OMV,1460571.89
519208,2021,4,15DEC2021,"TELMOV MOVIL, S.A. DE C.V.",C0080,TELMOVIL,C080,TELMOVIL,OMV,188109.28
519363,2021,4,15DEC2021,"MARKETING 358, S.A. DE C.V.",C0473,MARKETING 358,C473,MARKETING 358,OMV,1924097.07
519422,2021,4,15DEC2021,"BROCOMUNICACIONES MOVILES, S.A.P.I. DE C.V.",C0511,BROMOVIL,C511,BROMOVIL,OMV,237150.70
519694,2021,4,15DEC2021,EDUARDO PEDRERO PEREZ,C0825,EDUARDO PEDRERO PEREZ,C825,EDUARDO PEDRERO PEREZ,FIJO,68200.00
