FOLIO,ANIO,MES,FECHA,K_GRUPO,GRUPO,CONCESIONARIO,K_EMPRESA,EMPRESA,ENTIDAD,TECNO_ACCESO_TV,A_TOTAL_E
107358,2021,12,44545,C849,CABLE SISTEMA DEL CENTRO,"CABLE SISTEMA DEL CENTRO, S.A. DE C.V.",C084,CABLE SISTEMA DEL CENTRO,Sin información de Entidad,Sin información de tecnología,23
501591,2021,12,44545,C829,HERMOVISION,"HERMOVISION, S. DE R.L. DE C.V.",C082,HERMOVISION,Sin información de Entidad,Sin información de tecnología,0
501991,2021,12,44545,C830,EYCO DE LOS ALTOS,"EYCO DE LOS ALTOS, S. DE R.L. DE C.V.",C083,EYCO DE LOS ALTOS,Sin información de Entidad,Sin información de tecnología,288
512248,2021,12,44545,C694,SISCAB DE MEXICO,"SISCAB DE MEXICO, S.A. DE C.V.",C069,SISCAB DE MEXICO,Sin información de Entidad,Sin información de tecnología,5088
512249,2021,12,44545,C690,ESPID,"TELESISTEMAS Y REDES MEXIQUENSES, S.A. DE C.V.",C069,ESPID,Sin información de Entidad,Sin información de tecnología,3500
516861,2021,12,44545,C159,INTEGRA COMUNICACIONES,"INTEGRA COMUNICACIONES, S. DE R.L. DE C.V.",C015,INTEGRA COMUNICACIONES,Sin información de Entidad,Sin información de tecnología,26
516895,2021,12,44545,C853,CABLEPLAY,"CABLEPLAY TELECOMUNICACIONES, S.A. DE C.V.",C085,CABLEPLAY,Sin información de Entidad,Sin información de tecnología,3200
517430,2021,12,44545,C606,TELECABLE DE MARIANO ESCOBEDO ,JOSÉ ASCENCIÓN GODÍNEZ RAMÍREZ,C060,TELECABLE DE MARIANO ESCOBEDO Y SAN AGUSTIN DEL PULQUE,Sin información de Entidad,Sin información de tecnología,266
517527,2021,12,44545,C693,TELECABLE DE EL NARANJO,"TELECABLE DE EL NARANJO, S.A. DE C.V.",C069,TELECABLE DE EL NARANJO,Sin información de Entidad,Sin información de tecnología,1630
519022,2021,12,44545,C318,GOBO,"GO 3PLAY, S. DE R.L. DE C.V.",C031,GOBO,Sin información de Entidad,Sin información de tecnología,26
